longdist;local;int_disc;billtype;pay;gender;marital;incomecat;agecat;churn
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;<15;<31;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;<15;<31;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;<15;<31;Уходит
<2;<8;Нет;Бесплатный;CH;Мужской;Одинокий;<15;<31;Остается
<2;<8;Нет;Бесплатный;Auto;Мужской;Одинокий;<15;<31;Уходит
<2;<8;Нет;Бесплатный;Auto;Женский;Одинокий;<15;<31;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;<15;<31;Уходит
<2;<8;Нет;Бесплатный;Auto;Мужской;Одинокий;<15;<31;Уходит
<2;<8;Да;Бесплатный;CH;Мужской;Одинокий;<15;<31;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;<15;<31;Уходит
<2;<8;Нет;Бесплатный;CH;Мужской;Одинокий;<15;<31;Остается
<2;<8;Нет;Бюджетный;CC;Женский;Женат;<15;<31;Уходит
<2;<8;Нет;Бюджетный;CC;Женский;Женат;<15;<31;Уходит
<2;<8;Нет;Бесплатный;CH;Мужской;Одинокий;<15;<31;Остается
<2;<8;Да;Бесплатный;CH;Мужской;Одинокий;<15;<31;Уходит
<2;<8;Нет;Бюджетный;CC;Женский;Женат;<15;<31;Уходит
<2;<8;Нет;Бюджетный;CC;Женский;Женат;<15;<31;Уходит
<2;<8;Нет;Бесплатный;Auto;Женский;Одинокий;<15;<31;Уходит
<2;<8;Да;Бесплатный;CH;Мужской;Одинокий;<15;<31;Уходит
<2;<8;Нет;Бесплатный;CH;Женский;Женат;<15;<31;Уходит
<2;<8;Нет;Бесплатный;CH;Женский;Женат;<15;<31;Уходит
<2;<8;Нет;Бесплатный;CH;Женский;Женат;<15;<31;Уходит
<2;<8;Нет;Бюджетный;CC;Женский;Женат;<15;<31;Уходит
<2;<8;Нет;Бюджетный;CC;Женский;Женат;<15;<31;Уходит
<2;<8;Нет;Бесплатный;Auto;Мужской;Одинокий;<15;<31;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;<15;<31;Уходит
<2;<8;Нет;Бесплатный;Auto;Женский;Одинокий;<15;<31;Уходит
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;<15;31-45;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;<15;31-45;Уходит
<2;<8;Да;Бесплатный;Auto;Мужской;Женат;<15;31-45;Уходит
<2;<8;Да;Бесплатный;Auto;Мужской;Женат;<15;31-45;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;<15;31-45;Уходит
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;<15;31-45;Уходит
<2;<8;Да;Бесплатный;Auto;Мужской;Женат;<15;31-45;Уходит
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;<15;31-45;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;<15;31-45;Уходит
<2;<8;Нет;Бесплатный;Auto;Мужской;Одинокий;<15;46-58;Остается
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;<15;46-58;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;<15;46-58;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;<15;46-58;Уходит
<2;<8;Да;Бюджетный;CC;Женский;Женат;<15;46-58;Уходит
<2;<8;Да;Бюджетный;CC;Женский;Женат;<15;46-58;Уходит
<2;<8;Нет;Бесплатный;Auto;Мужской;Одинокий;<15;46-58;Остается
<2;<8;Да;Бюджетный;CC;Женский;Женат;<15;46-58;Уходит
<2;<8;Нет;Бесплатный;Auto;Мужской;Одинокий;<15;46-58;Остается
<2;<8;Да;Бесплатный;CH;Мужской;Женат;<15;59-70;Уходит
<2;<8;Да;Бюджетный;CH;Женский;Одинокий;<15;59-70;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;<15;59-70;Остается
<2;<8;Да;Бюджетный;CH;Женский;Одинокий;<15;59-70;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;<15;59-70;Остается
<2;<8;Да;Бесплатный;CC;Женский;Женат;<15;59-70;Уходит
<2;<8;Да;Бесплатный;CH;Мужской;Женат;<15;59-70;Уходит
<2;<8;Нет;Бесплатный;CH;Мужской;Женат;<15;59-70;Остается
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;<15;59-70;Уходит
<2;<8;Да;Бесплатный;CC;Женский;Женат;<15;59-70;Уходит
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;<15;59-70;Уходит
<2;<8;Нет;Бесплатный;CH;Мужской;Женат;<15;59-70;Остается
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;<15;59-70;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;<15;59-70;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;<15;59-70;Уходит
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;<15;59-70;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;<15;59-70;Уходит
<2;<8;Да;Бесплатный;CC;Женский;Женат;<15;59-70;Уходит
<2;<8;Да;Бюджетный;CH;Женский;Одинокий;<15;59-70;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;<15;59-70;Остается
<2;<8;Нет;Бесплатный;CH;Мужской;Женат;<15;59-70;Остается
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;<15;59-70;Уходит
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;<15;59-70;Уходит
<2;<8;Да;Бесплатный;CH;Мужской;Женат;<15;59-70;Уходит
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;<15;71+;Уходит
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;<15;71+;Уходит
<2;<8;Нет;Бесплатный;CH;Мужской;Одинокий;<15;71+;Уходит
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;<15;71+;Уходит
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;<15;71+;Уходит
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;<15;71+;Уходит
<2;<8;Да;Бюджетный;Auto;Мужской;Одинокий;<15;71+;Уходит
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;<15;71+;Уходит
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;<15;71+;Уходит
<2;<8;Нет;Бесплатный;CH;Мужской;Одинокий;<15;71+;Уходит
<2;<8;Да;Бюджетный;Auto;Мужской;Одинокий;<15;71+;Уходит
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;<15;71+;Уходит
<2;<8;Да;Бюджетный;Auto;Мужской;Одинокий;<15;71+;Уходит
<2;<8;Нет;Бесплатный;CH;Мужской;Одинокий;<15;71+;Уходит
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;<15;71+;Уходит
<2;<8;Нет;Бюджетный;CH;Мужской;Одинокий;<15;31-45;Остается
<2;<8;Нет;Бесплатный;CH;Мужской;Женат;<15;31-45;Уходит
<2;<8;Нет;Бюджетный;CH;Женский;Женат;<15;31-45;Уходит
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;<15;31-45;Уходит
<2;<8;Нет;Бюджетный;CH;Женский;Женат;<15;31-45;Уходит
<2;<8;Нет;Бесплатный;CH;Мужской;Женат;<15;31-45;Уходит
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;<15;31-45;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;<15;31-45;Остается
<2;<8;Нет;Бюджетный;CH;Женский;Женат;<15;31-45;Уходит
<2;<8;Нет;Бесплатный;CH;Мужской;Женат;<15;31-45;Уходит
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;<15;31-45;Уходит
<2;<8;Нет;Бюджетный;CH;Мужской;Одинокий;<15;31-45;Остается
<2;<8;Нет;Бюджетный;CH;Женский;Женат;<15;31-45;Уходит
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;<15;31-45;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;<15;31-45;Остается
<2;<8;Нет;Бюджетный;CH;Женский;Женат;<15;31-45;Уходит
<2;<8;Нет;Бюджетный;CH;Женский;Женат;<15;31-45;Уходит
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;<15;31-45;Уходит
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;<15;31-45;Уходит
<2;<8;Нет;Бюджетный;CH;Мужской;Одинокий;<15;46-58;Остается
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;<15;46-58;Уходит
<2;<8;Нет;Бесплатный;Auto;Женский;Женат;<15;46-58;Уходит
<2;<8;Да;Бесплатный;CC;Мужской;Одинокий;<15;46-58;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;<15;46-58;Остается
<2;<8;Да;Бюджетный;CH;Женский;Одинокий;15-35;<31;Уходит
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;15-35;<31;Уходит
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;15-35;<31;Уходит
<2;<8;Да;Бюджетный;Auto;Мужской;Одинокий;15-35;<31;Уходит
<2;<8;Нет;Бесплатный;CC;Женский;Женат;15-35;<31;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;15-35;<31;Уходит
<2;<8;Да;Бюджетный;Auto;Женский;Одинокий;15-35;<31;Уходит
<2;<8;Да;Бюджетный;CH;Женский;Одинокий;15-35;<31;Уходит
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;15-35;<31;Уходит
<2;<8;Да;Бюджетный;CH;Женский;Одинокий;15-35;<31;Уходит
<2;<8;Да;Бюджетный;Auto;Женский;Одинокий;15-35;<31;Уходит
<2;<8;Да;Бюджетный;Auto;Мужской;Одинокий;15-35;<31;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;15-35;<31;Уходит
<2;<8;Да;Бюджетный;Auto;Мужской;Одинокий;15-35;<31;Уходит
<2;<8;Нет;Бесплатный;CC;Женский;Женат;15-35;<31;Уходит
<2;<8;Да;Бюджетный;Auto;Женский;Одинокий;15-35;<31;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;15-35;<31;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;15-35;<31;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;15-35;<31;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;15-35;<31;Уходит
<2;<8;Нет;Бесплатный;CC;Женский;Женат;15-35;<31;Уходит
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;15-35;31-45;Уходит
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;15-35;31-45;Уходит
<2;<8;Нет;Бюджетный;Auto;Женский;Женат;15-35;31-45;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;15-35;46-58;Уходит
<2;<8;Нет;Бесплатный;Auto;Женский;Одинокий;15-35;46-58;Уходит
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;15-35;46-58;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;15-35;46-58;Уходит
<2;<8;Нет;Бесплатный;Auto;Женский;Одинокий;15-35;46-58;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;15-35;46-58;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;15-35;46-58;Уходит
<2;<8;Нет;Бесплатный;CC;Женский;Женат;15-35;46-58;Уходит
<2;<8;Нет;Бесплатный;CC;Женский;Женат;15-35;46-58;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;15-35;46-58;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;15-35;46-58;Уходит
<2;<8;Нет;Бесплатный;CH;Женский;Одинокий;15-35;46-58;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Одинокий;15-35;46-58;Уходит
<2;<8;Нет;Бесплатный;CC;Женский;Женат;15-35;46-58;Уходит
<2;<8;Нет;Бесплатный;Auto;Женский;Одинокий;15-35;46-58;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;15-35;46-58;Уходит
<2;<8;Нет;Бесплатный;CH;Женский;Одинокий;15-35;46-58;Уходит
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;15-35;46-58;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;15-35;46-58;Уходит
<2;<8;Да;Бесплатный;CC;Женский;Одинокий;15-35;46-58;Уходит
<2;<8;Нет;Бесплатный;CH;Женский;Одинокий;15-35;46-58;Уходит
<2;<8;Да;Бюджетный;Auto;Мужской;Женат;15-35;59-70;Уходит
<2;<8;Да;Бесплатный;Auto;Мужской;Женат;15-35;59-70;Остается
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;15-35;59-70;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;15-35;59-70;Уходит
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;15-35;59-70;Остается
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;15-35;59-70;Уходит
<2;<8;Нет;Бесплатный;CC;Мужской;Женат;15-35;59-70;Уходит
<2;<8;Да;Бесплатный;CC;Женский;Женат;15-35;59-70;Уходит
<2;<8;Да;Бесплатный;Auto;Мужской;Женат;15-35;59-70;Остается
<2;<8;Да;Бесплатный;Auto;Мужской;Женат;15-35;59-70;Остается
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;15-35;59-70;Уходит
<2;<8;Да;Бесплатный;CC;Женский;Женат;15-35;59-70;Уходит
<2;<8;Да;Бюджетный;Auto;Мужской;Женат;15-35;59-70;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;15-35;59-70;Уходит
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;15-35;59-70;Остается
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;15-35;59-70;Уходит
<2;<8;Нет;Бесплатный;Auto;Мужской;Женат;15-35;59-70;Уходит
<2;<8;Нет;Бесплатный;Auto;Мужской;Женат;15-35;59-70;Уходит
<2;<8;Да;Бюджетный;Auto;Мужской;Женат;15-35;59-70;Уходит
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;15-35;59-70;Остается
<2;<8;Нет;Бесплатный;Auto;Мужской;Женат;15-35;59-70;Уходит
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;15-35;59-70;Уходит
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;15-35;59-70;Уходит
<2;<8;Да;Бесплатный;CC;Женский;Женат;15-35;59-70;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;15-35;71+;Уходит
<2;<8;Нет;Бесплатный;CC;Женский;Одинокий;15-35;71+;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;15-35;71+;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;15-35;71+;Уходит
<2;<8;Нет;Бесплатный;Auto;Мужской;Одинокий;15-35;71+;Уходит
<2;<8;Нет;Бесплатный;Auto;Мужской;Одинокий;15-35;71+;Уходит
<2;<8;Да;Бесплатный;CH;Женский;Женат;15-35;71+;Уходит
<2;<8;Нет;Бюджетный;CC;Мужской;Женат;15-35;71+;Уходит
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;15-35;71+;Уходит
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;15-35;71+;Уходит
<2;<8;Нет;Бюджетный;CH;Мужской;Женат;15-35;71+;Уходит
<2;<8;Да;Бесплатный;CH;Женский;Женат;15-35;71+;Уходит
<2;<8;Да;Бесплатный;CH;Женский;Женат;15-35;71+;Уходит
