longdist;internat;local;int_disc;billtype;pay;age;gender;marital;children;income
2,47;4,41;107,7;Да;Бесплатный;CC;46;Женский;Одинокий;0;50451,6
2,48;0;21,58;Да;Бесплатный;CC;83;Мужской;Одинокий;0;52774
2,48;0;21,58;Да;Бесплатный;CC;83;Мужской;Одинокий;0;52774
2,48;0;21,58;Да;Бесплатный;CC;83;Мужской;Одинокий;0;52774
2,5;0;24,99;Нет;Бюджетный;CH;92;Мужской;Женат;0;29518,8
2,5;0;24,99;Нет;Бюджетный;CH;92;Мужской;Женат;0;29518,8
2,5;0;24,99;Нет;Бюджетный;CH;92;Мужской;Женат;0;29518,8
2,5;0;31,99;Нет;Бесплатный;Auto;67;Мужской;Женат;0;26369,2
2,5;0;31,99;Нет;Бесплатный;Auto;67;Мужской;Женат;0;26369,2
2,5;0;31,99;Нет;Бесплатный;Auto;67;Мужской;Женат;0;26369,2
2,51;1,36;29,2;Нет;Бесплатный;CC;19;Мужской;Женат;0;89958,8
2,51;1,36;29,2;Нет;Бесплатный;CC;19;Мужской;Женат;0;89958,8
2,51;1,36;29,2;Нет;Бесплатный;CC;19;Мужской;Женат;0;89958,8
2,54;8,9;73,97;Нет;Бюджетный;Auto;64;Мужской;Одинокий;0;53919,9
2,54;8,9;73,97;Нет;Бюджетный;Auto;64;Мужской;Одинокий;0;53919,9
2,54;8,9;73,97;Нет;Бюджетный;Auto;64;Мужской;Одинокий;0;53919,9
2,54;0;52,65;Да;Бесплатный;CC;65;Женский;Женат;0;10391,1
2,54;0;52,65;Да;Бесплатный;CC;65;Женский;Женат;0;10391,1
2,54;0;52,65;Да;Бесплатный;CC;65;Женский;Женат;0;10391,1
2,64;0;50,23;Нет;Бесплатный;Auto;67;Женский;Женат;2;99100,1
2,64;0;50,23;Нет;Бесплатный;Auto;67;Женский;Женат;2;99100,1
2,64;0;50,23;Нет;Бесплатный;Auto;67;Женский;Женат;2;99100,1
2,65;0;24,75;Нет;Бюджетный;CC;57;Мужской;Женат;0;28128,4
2,65;0;24,75;Нет;Бюджетный;CC;57;Мужской;Женат;0;28128,4
2,65;0;24,75;Нет;Бюджетный;CC;57;Мужской;Женат;0;28128,4
2,68;0;17,13;Нет;Бесплатный;Auto;58;Женский;Женат;1;1414,58
2,68;0;17,13;Нет;Бесплатный;Auto;58;Женский;Женат;1;1414,58
2,68;0;17,13;Нет;Бесплатный;Auto;58;Женский;Женат;1;1414,58
2,7;0;9,12;Нет;Бесплатный;CC;62;Мужской;Одинокий;2;23715
2,7;0;9,12;Нет;Бесплатный;CC;62;Мужской;Одинокий;2;23715
2,7;0;9,12;Нет;Бесплатный;CC;62;Мужской;Одинокий;2;23715
2,71;0;115,74;Нет;Бесплатный;Auto;53;Женский;Женат;2;64546,4
2,71;0;115,74;Нет;Бесплатный;Auto;53;Женский;Женат;2;64546,4
2,71;0;115,74;Нет;Бесплатный;Auto;53;Женский;Женат;2;64546,4
2,72;0;80,27;Нет;Бюджетный;CH;88;Женский;Женат;1;96090,2
2,72;0;80,27;Нет;Бюджетный;CH;88;Женский;Женат;1;96090,2
2,72;0;80,27;Нет;Бюджетный;CH;88;Женский;Женат;1;96090,2
2,72;0;14,96;Да;Бесплатный;CC;21;Мужской;Женат;2;58963,7
2,72;0;14,96;Да;Бесплатный;CC;21;Мужской;Женат;2;58963,7
2,72;0;14,96;Да;Бесплатный;CC;21;Мужской;Женат;2;58963,7
2,74;0;180,97;Нет;Бюджетный;CC;54;Мужской;Женат;2;93476,6
2,74;0;180,97;Нет;Бюджетный;CC;54;Мужской;Женат;2;93476,6
2,74;0;180,97;Нет;Бюджетный;CC;54;Мужской;Женат;2;93476,6
2,77;0;9,36;Нет;Бюджетный;CC;45;Мужской;Женат;0;70239,8
2,77;0;9,36;Нет;Бюджетный;CC;45;Мужской;Женат;0;70239,8
2,77;0;9,36;Нет;Бюджетный;CC;45;Мужской;Женат;0;70239,8
2,8;0;69,79;Нет;Бесплатный;CC;38;Мужской;Женат;0;94002,6
2,8;0;69,79;Нет;Бесплатный;CC;38;Мужской;Женат;0;94002,6
2,8;0;69,79;Нет;Бесплатный;CC;38;Мужской;Женат;0;94002,6
2,83;0;40,25;Да;Бесплатный;CC;49;Мужской;Одинокий;1;29894,4
2,83;0;40,25;Да;Бесплатный;CC;49;Мужской;Одинокий;1;29894,4
2,83;0;40,25;Да;Бесплатный;CC;49;Мужской;Одинокий;1;29894,4
2,84;0;24,45;Да;Бюджетный;CH;71;Женский;Женат;2;49745,3
2,84;0;24,45;Да;Бюджетный;CH;71;Женский;Женат;2;49745,3
2,84;0;24,45;Да;Бюджетный;CH;71;Женский;Женат;2;49745,3
2,86;0;75,73;Нет;Бюджетный;Auto;48;Женский;Женат;0;98129
2,86;0;75,73;Нет;Бюджетный;Auto;48;Женский;Женат;0;98129
2,86;0;75,73;Нет;Бюджетный;Auto;48;Женский;Женат;0;98129
2,87;0;262,92;Нет;Бюджетный;CC;39;Женский;Одинокий;0;58623,8
2,87;0;262,92;Нет;Бюджетный;CC;39;Женский;Одинокий;0;58623,8
2,87;0;262,92;Нет;Бюджетный;CC;39;Женский;Одинокий;0;58623,8
2,88;0;10,25;Нет;Бесплатный;CH;27;Женский;Одинокий;0;67668,3
2,88;0;10,25;Нет;Бесплатный;CH;27;Женский;Одинокий;0;67668,3
2,88;0;10,25;Нет;Бесплатный;CH;27;Женский;Одинокий;0;67668,3
2,94;0;165,43;Да;Бесплатный;CC;48;Мужской;Женат;1;3793,73
2,94;0;165,43;Да;Бесплатный;CC;48;Мужской;Женат;1;3793,73
2,94;0;165,43;Да;Бесплатный;CC;48;Мужской;Женат;1;3793,73
2,95;0,26;77,24;Нет;Бесплатный;CH;48;Мужской;Одинокий;2;39428,2
2,95;0,26;77,24;Нет;Бесплатный;CH;48;Мужской;Одинокий;2;39428,2
2,95;0,26;77,24;Нет;Бесплатный;CH;48;Мужской;Одинокий;2;39428,2
2,96;3,3;73,32;Да;Бюджетный;Auto;41;Женский;Одинокий;2;48271,8
2,96;3,3;73,32;Да;Бюджетный;Auto;41;Женский;Одинокий;2;48271,8
2,96;3,3;73,32;Да;Бюджетный;Auto;41;Женский;Одинокий;2;48271,8
3;0,87;20,74;Нет;Бесплатный;CH;36;Мужской;Одинокий;2;55485,8
3;0,87;20,74;Нет;Бесплатный;CH;36;Мужской;Одинокий;2;55485,8
3;0,87;20,74;Нет;Бесплатный;CH;36;Мужской;Одинокий;2;55485,8
3,04;0;42,92;Нет;Бесплатный;CC;54;Женский;Женат;1;40027,6
3,04;0;42,92;Нет;Бесплатный;CC;54;Женский;Женат;1;40027,6
3,04;0;42,92;Нет;Бесплатный;CC;54;Женский;Женат;1;40027,6
3,1;0;6,43;Нет;Бюджетный;CC;65;Мужской;Женат;0;30057,4
3,1;0;6,43;Нет;Бюджетный;CC;65;Мужской;Женат;0;30057,4
3,1;0;6,43;Нет;Бюджетный;CC;65;Мужской;Женат;0;30057,4
3,11;0;127,14;Нет;Бюджетный;CC;68;Мужской;Одинокий;2;17047,2
3,11;0;127,14;Нет;Бюджетный;CC;68;Мужской;Одинокий;2;17047,2
3,11;0;127,14;Нет;Бюджетный;CC;68;Мужской;Одинокий;2;17047,2
3,13;0;25,06;Нет;Бесплатный;CC;63;Женский;Женат;2;84342,2
3,13;0;25,06;Нет;Бесплатный;CC;63;Женский;Женат;2;84342,2
3,13;0;25,06;Нет;Бесплатный;CC;63;Женский;Женат;2;84342,2
3,16;0;105,56;Нет;Бюджетный;CC;32;Женский;Женат;2;82258,2
3,16;0;105,56;Нет;Бюджетный;CC;32;Женский;Женат;2;82258,2
3,16;0;105,56;Нет;Бюджетный;CC;32;Женский;Женат;2;82258,2
3,17;0;58,04;Нет;Бюджетный;CC;57;Мужской;Женат;1;35075
3,17;0;58,04;Нет;Бюджетный;CC;57;Мужской;Женат;1;35075
3,17;0;58,04;Нет;Бюджетный;CC;57;Мужской;Женат;1;35075
3,21;0;72,49;Да;Бюджетный;CC;58;Мужской;Одинокий;1;69473,4
3,21;0;72,49;Да;Бюджетный;CC;58;Мужской;Одинокий;1;69473,4
3,21;0;72,49;Да;Бюджетный;CC;58;Мужской;Одинокий;1;69473,4
3,22;0;35,93;Нет;Бесплатный;CC;71;Женский;Женат;2;80667,4
3,22;0;35,93;Нет;Бесплатный;CC;71;Женский;Женат;2;80667,4
3,22;0;35,93;Нет;Бесплатный;CC;71;Женский;Женат;2;80667,4
3,24;0;42,3;Да;Бюджетный;CC;71;Женский;Женат;0;67812,8
3,24;0;42,3;Да;Бюджетный;CC;71;Женский;Женат;0;67812,8
3,24;0;42,3;Да;Бюджетный;CC;71;Женский;Женат;0;67812,8
3,26;0;10,07;Нет;Бесплатный;CC;72;Мужской;Одинокий;1;95182,1
3,26;0;10,07;Нет;Бесплатный;CC;72;Мужской;Одинокий;1;95182,1
3,26;0;10,07;Нет;Бесплатный;CC;72;Мужской;Одинокий;1;95182,1
3,28;0;133,67;Нет;Бесплатный;CC;92;Мужской;Женат;2;24344,1
3,28;0;133,67;Нет;Бесплатный;CC;92;Мужской;Женат;2;24344,1
3,28;0;133,67;Нет;Бесплатный;CC;92;Мужской;Женат;2;24344,1
3,28;0;8,22;Нет;Бюджетный;Auto;42;Мужской;Женат;0;57042,2
3,28;0;8,22;Нет;Бюджетный;Auto;42;Мужской;Женат;0;57042,2
3,28;0;8,22;Нет;Бюджетный;Auto;42;Мужской;Женат;0;57042,2
3,31;0;36,7;Нет;Бюджетный;CH;97;Женский;Женат;0;50290,7
3,31;0;36,7;Нет;Бюджетный;CH;97;Женский;Женат;0;50290,7
3,31;0;36,7;Нет;Бюджетный;CH;97;Женский;Женат;0;50290,7
3,33;0;99,32;Нет;Бюджетный;Auto;91;Женский;Женат;0;99309
3,33;0;99,32;Нет;Бюджетный;Auto;91;Женский;Женат;0;99309
3,33;0;99,32;Нет;Бюджетный;Auto;91;Женский;Женат;0;99309
3,33;0;40,64;Нет;Бюджетный;Auto;22;Женский;Женат;1;91390,6
3,33;0;40,64;Нет;Бюджетный;Auto;22;Женский;Женат;1;91390,6
3,33;0;40,64;Нет;Бюджетный;Auto;22;Женский;Женат;1;91390,6
3,35;9,61;136,89;Нет;Бюджетный;CH;68;Мужской;Одинокий;1;57322,1
3,35;9,61;136,89;Нет;Бюджетный;CH;68;Мужской;Одинокий;1;57322,1
3,35;9,61;136,89;Нет;Бюджетный;CH;68;Мужской;Одинокий;1;57322,1
3,37;0;43,54;Нет;Бюджетный;CH;47;Женский;Одинокий;1;59489
3,37;0;43,54;Нет;Бюджетный;CH;47;Женский;Одинокий;1;59489
3,37;0;43,54;Нет;Бюджетный;CH;47;Женский;Одинокий;1;59489
3,45;4,18;117,34;Нет;Бюджетный;Auto;76;Женский;Женат;0;35697,5
3,45;4,18;117,34;Нет;Бюджетный;Auto;76;Женский;Женат;0;35697,5
3,45;4,18;117,34;Нет;Бюджетный;Auto;76;Женский;Женат;0;35697,5
3,52;0;49,65;Да;Бюджетный;CC;58;Женский;Одинокий;1;53357,4
