Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Sales Channel
BU79786,Washington,2763.519279,No,Basic,Bachelor,24.02.2011,Employed,F,56274,Suburban,Married,,32,5,,1,Corporate Auto,Agent
QZ44356,Arizona,6979.535903,No,Extended,Bachelor,31.01.2011,Unemployed,F,0,Suburban,Single,,13,42,,8,Personal Auto,Agent
AI49188,Nevada,12887.43165,No,Premium,Bachelor,19.02.2011,Employed,F,48767,Suburban,Married,108,,38,0,2,Personal Auto,Agent
WW63253,California,7645.861827,No,Basic,Bachelor,20.01.2011,Unemployed,M,0,Suburban,Married,106,18,65,0,7,Corporate Auto,Call Center
HB64268,Washington,2813.692575,No,Basic,Bachelor,02.03.2011,Employed,M,43836,Rural,Single,73,12,44,0,1,Personal Auto,Agent
OC83172,Oregon,8256.2978,Yes,Basic,Bachelor,25.01.2011,Employed,F,62902,Rural,Married,69,14,94,0,2,Personal Auto,Web
XZ87318,Oregon,5380.898636,No,Basic,College,24.02.2011,Employed,F,55350,Suburban,Married,67,0,13,0,9,Corporate Auto,Agent
CF85061,Arizona,7216.100311,No,Premium,Master,18.01.2011,Unemployed,M,0,Urban,Single,101,0,68,0,4,Corporate Auto,Agent
DY87989,Oregon,24127.50402,Yes,Basic,Bachelor,26.01.2011,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Corporate Auto,Agent
BQ94931,Oregon,7388.178085,No,Extended,,17.02.2011,Employed,F,28812,Urban,Married,93,17,,0,8,Special Auto,Branch
SX51350,California,4738.992022,No,Basic,College,21.02.2011,Unemployed,M,0,Suburban,Single,67,,5,0,3,Personal Auto,Agent
VQ65197,California,8197.197078,No,Basic,College,01.06.2011,Unemployed,F,0,Suburban,Married,110,27,87,0,3,Personal Auto,Agent
DP39365,California,8798.797003,No,Premium,Master,02.06.2011,Employed,M,77026,Urban,Married,110,9,,2,3,Corporate Auto,Agent
SJ95423,Arizona,8819.018934,Yes,Basic,High School or Below,01.10.2011,Employed,M,99845,Suburban,Married,110,23,25,1,,Corporate Auto,Branch
IL66569,California,5384.431665,No,Basic,College,18.01.2011,Employed,M,83689,Urban,Single,70,21,,2,8,Corporate Auto,Call Center
BW63560,Oregon,7463.139377,No,Basic,Bachelor,17.01.2011,Employed,F,24599,Rural,Married,64,12,50,1,,Corporate Auto,Branch
FV94802,Nevada,2566.867823,No,Basic,High School or Below,02.06.2011,Medical Leave,M,25049,Suburban,Married,67,14,7,0,1,Personal Auto,Call Center
OE15005,California,3945.241604,No,Basic,College,01.05.2011,Medical Leave,M,28855,Suburban,Married,101,12,59,0,1,Personal Auto,Call Center
WC83389,Oregon,5710.333115,No,Basic,College,27.02.2011,Employed,M,51148,Urban,Married,,9,1,,7,Personal Auto,Branch
FL50705,California,8162.617053,No,Premium,High School or Below,14.01.2011,Employed,F,66140,Suburban,Married,101,11,21,0,3,Corporate Auto,Call Center
ZK25313,Oregon,2872.051273,No,Basic,High School or Below,19.02.2011,Employed,M,57749,Suburban,Single,,31,21,0,1,Personal Auto,Branch
SV62436,Washington,3041.791561,No,Extended,Bachelor,21.01.2011,Disabled,F,13789,Suburban,Divorced,,8,49,0,1,Personal Auto,Call Center
YH23384,Arizona,24127.50402,Yes,Basic,Bachelor,26.01.2011,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Personal Auto,Agent
TZ98966,Nevada,2450.190996,No,Basic,Bachelor,24.02.2011,Unemployed,F,0,Suburban,Single,73,4,44,3,1,Corporate Auto,Branch
HM55802,California,2392.10789,No,Basic,Bachelor,02.05.2011,Disabled,F,17870,Suburban,Married,61,30,91,0,1,Corporate Auto,Branch
FS42516,Oregon,5802.065978,No,Basic,College,29.01.2011,Employed,M,97541,Suburban,Married,72,22,1,0,3,Personal Auto,Call Center
US89481,California,3946.372085,No,Premium,Bachelor,28.02.2011,Unemployed,F,0,Suburban,Single,,15,47,0,1,Personal Auto,Agent
HO30839,Washington,5346.916576,No,Extended,Master,02.12.2011,Disabled,F,10511,Urban,Married,139,33,,0,1,Corporate Auto,Branch
GE62437,Arizona,12902.56014,No,Premium,College,02.02.2011,Employed,F,86584,Suburban,Single,111,33,54,2,,Personal Auto,Call Center
EJ77678,Oregon,3235.360468,No,Extended,Master,02.07.2011,Employed,F,75690,Suburban,Married,80,,44,1,1,Personal Auto,Branch
SV85652,Arizona,2454.58354,No,Basic,College,28.02.2011,Employed,M,23158,Suburban,Married,63,4,,1,1,Personal Auto,Call Center
UL64533,Nevada,18975.45611,No,Extended,High School or Below,22.01.2011,Employed,M,65999,Urban,Married,237,1,14,0,6,Corporate Auto,Agent
PF41800,California,4715.321344,No,Basic,Bachelor,25.01.2011,Unemployed,M,0,Urban,Married,65,19,56,0,3,Personal Auto,Call Center
AO98601,Washington,5018.885233,No,Basic,Bachelor,18.01.2011,Employed,M,54500,Suburban,Married,63,28,17,0,6,Corporate Auto,Agent
SK67821,Oregon,4932.916345,No,Basic,Bachelor,13.02.2011,Employed,F,37260,Rural,Married,62,19,42,0,8,Corporate Auto,Web
YV55495,Arizona,5744.229745,No,Basic,High School or Below,15.01.2011,Employed,F,68987,Urban,Married,71,11,40,0,6,Personal Auto,Branch
KY38074,California,13891.73567,No,Premium,Bachelor,01.08.2011,Employed,M,42305,Suburban,Married,117,10,62,0,2,Personal Auto,Agent
DM79012,Oregon,7380.976717,No,Extended,Master,02.06.2011,Employed,F,65706,Suburban,Married,91,19,86,0,8,Personal Auto,Web
CM61827,Oregon,3090.034104,No,Extended,Bachelor,25.01.2011,Unemployed,M,0,Suburban,Single,90,7,79,0,1,Personal Auto,Agent
WC35801,Arizona,2521.633095,No,Basic,High School or Below,02.07.2011,Employed,M,53243,Rural,Divorced,66,4,15,2,1,Personal Auto,Call Center
QG25316,Nevada,2652.061785,No,Basic,High School or Below,18.01.2011,Unemployed,F,0,Suburban,Married,70,7,1,1,1,Corporate Auto,Call Center
MB98372,Oregon,2771.045031,Yes,Basic,College,01.11.2011,Employed,F,50071,Rural,Single,71,3,32,0,1,Corporate Auto,Agent
IL19217,California,3939.00637,Yes,Extended,Bachelor,28.01.2011,Employed,F,60021,Suburban,Married,99,12,28,0,1,Personal Auto,Agent
SR38658,Arizona,12231.87968,No,Basic,High School or Below,02.08.2011,Employed,M,43244,Suburban,Married,103,15,16,0,2,Personal Auto,Agent
DH41343,Washington,2443.665166,No,Basic,College,23.02.2011,Employed,M,92834,Suburban,Married,61,15,56,0,1,Special Auto,Call Center
HG65722,Oregon,12819.10289,No,Premium,Doctor,25.01.2011,Disabled,F,10105,Rural,Married,172,5,4,3,3,Personal Auto,Branch
BU27331,Arizona,4468.510542,No,Basic,Bachelor,31.01.2011,Unemployed,M,0,Suburban,Single,73,7,57,3,5,Personal Auto,Call Center
XM45289,Oregon,5514.344018,No,Basic,High School or Below,01.02.2011,Employed,F,23218,Suburban,Single,71,7,10,0,4,Personal Auto,Agent
KP34198,California,3343.875326,No,Extended,Bachelor,02.07.2011,Unemployed,F,0,Suburban,Married,92,11,77,0,1,Corporate Auto,Call Center
SH90947,Arizona,2294.478927,No,Basic,High School or Below,18.01.2011,Unemployed,F,0,Suburban,Married,62,11,56,0,1,Personal Auto,Branch
WE95729,Oregon,36707.42639,No,Basic,College,17.01.2011,Employed,M,24804,Suburban,Married,104,1,28,0,2,Personal Auto,Agent
PY51963,California,33473.34946,Yes,Basic,Bachelor,01.11.2011,Employed,F,33190,Suburban,Divorced,106,18,95,0,2,Corporate Auto,Web
RB69909,Nevada,7983.431709,No,Basic,High School or Below,21.02.2011,Employed,F,36014,Rural,Married,69,4,40,3,2,Special Auto,Branch
XR95069,Washington,4854.745666,No,Basic,Bachelor,16.02.2011,Employed,M,29834,Suburban,Single,64,19,44,0,3,Personal Auto,Agent
FR46645,California,4293.997319,No,Premium,Bachelor,17.01.2011,Disabled,M,16701,Suburban,Married,113,20,26,0,1,Personal Auto,Branch
SY17488,Arizona,7164.395543,No,Extended,College,02.05.2011,Employed,F,46623,Suburban,Divorced,91,1,53,0,3,Corporate Auto,Call Center
AP67935,California,7619.5158,No,Basic,College,13.02.2011,Employed,M,64749,Urban,Married,64,24,59,0,2,Special Auto,Branch
FS37417,Arizona,3958.002823,No,Basic,High School or Below,23.02.2011,Unemployed,F,0,Suburban,Married,101,29,12,0,1,Personal Auto,Call Center
ML29312,Oregon,4499.493252,No,Extended,High School or Below,28.01.2011,Disabled,F,16969,Suburban,Divorced,124,34,47,2,1,Personal Auto,Call Center
UB61619,Oregon,4059.567414,No,Premium,Master,28.02.2011,Disabled,F,11621,Suburban,Divorced,108,4,98,0,1,Personal Auto,Agent
CD86811,Arizona,4458.113369,No,Basic,Bachelor,01.02.2011,Retired,M,17622,Suburban,Divorced,65,1,36,1,3,Personal Auto,Agent
RU83859,California,8110.333139,No,Premium,Bachelor,22.01.2011,Medical Leave,F,11489,Suburban,Married,105,4,50,0,6,Personal Auto,Call Center
FG63582,Oregon,3339.764873,No,Extended,Bachelor,15.01.2011,Unemployed,M,0,Suburban,Single,94,20,53,0,1,Personal Auto,Agent
NN71951,California,24261.01777,No,Basic,High School or Below,27.01.2011,Employed,F,66525,Rural,Married,100,0,86,0,2,Personal Auto,Agent
WB37082,Arizona,6613.973653,No,Basic,Bachelor,23.01.2011,Unemployed,F,0,Suburban,Single,63,21,28,0,2,Personal Auto,Branch
SM52139,Washington,2930.693543,No,Basic,College,31.01.2011,Employed,M,33663,Suburban,Married,73,29,71,0,1,Personal Auto,Web
FL82372,Oregon,8672.194272,No,Basic,College,26.01.2011,Employed,F,22547,Suburban,Divorced,112,7,60,0,3,Corporate Auto,Agent
DP45816,Arizona,11638.66926,No,Extended,High School or Below,01.10.2011,Employed,F,61486,Urban,Married,97,5,65,0,2,Personal Auto,Branch
GW33762,Oregon,6846.150323,No,Extended,Bachelor,27.01.2011,Unemployed,F,0,Suburban,Divorced,95,13,20,0,5,Personal Auto,Call Center
RZ33670,California,11727.77648,No,Premium,College,01.09.2011,Disabled,F,29879,Suburban,Married,102,17,0,0,2,Personal Auto,Web
PY70169,Oregon,22643.83478,No,Basic,High School or Below,24.02.2011,Employed,M,93011,Rural,Divorced,113,17,12,0,2,Personal Auto,Agent
MO91628,Oregon,2614.474305,No,Basic,Master,02.11.2011,Employed,M,65186,Rural,Married,65,29,27,0,1,Personal Auto,Web
HW87852,Oregon,2451.752695,No,Basic,Master,02.12.2011,Medical Leave,M,26840,Suburban,Married,64,1,47,2,1,Personal Auto,Agent
HB20453,Oregon,6781.270203,No,Basic,Bachelor,02.04.2011,Unemployed,M,0,Suburban,Single,104,30,3,1,5,Personal Auto,Agent
BN87372,Oregon,4974.801539,No,Basic,Bachelor,18.01.2011,Employed,M,75644,Suburban,Divorced,65,5,68,3,9,Personal Auto,Branch
YX23800,Oregon,8591.604933,No,Basic,Bachelor,02.11.2011,Employed,M,38984,Suburban,Married,73,27,38,0,2,Personal Auto,Branch
DZ87709,Oregon,5592.161392,No,Basic,High School or Below,02.01.2011,Employed,F,71811,Rural,Single,71,17,48,0,6,Personal Auto,Call Center
XW13033,Nevada,8009.472833,No,Basic,College,15.02.2011,Employed,M,20961,Suburban,Married,67,20,33,0,2,Personal Auto,Agent
LN31673,Washington,11318.08982,No,Extended,College,02.06.2011,Employed,M,38923,Rural,Married,99,6,83,2,2,Personal Auto,Agent
OM82309,California,58166.55351,No,Basic,Bachelor,27.02.2011,Employed,M,61321,Rural,Single,186,0,30,1,2,Personal Auto,Branch
ZU35962,California,8025.229358,No,Extended,College,26.01.2011,Unemployed,F,0,Rural,Single,77,20,26,0,2,Personal Auto,Branch
VH85817,California,5780.182197,No,Basic,High School or Below,26.02.2011,Employed,M,51066,Suburban,Single,74,23,0,0,8,Personal Auto,Call Center
DT85712,California,4118.539113,No,Basic,Doctor,27.01.2011,Employed,M,34378,Suburban,Married,102,12,54,0,1,Personal Auto,Branch
YJ88573,Nevada,2523.07015,No,Basic,Master,16.01.2011,Employed,M,43072,Suburban,Married,63,35,15,0,1,Personal Auto,Call Center
SQ19467,Oregon,6554.216396,No,Extended,College,27.01.2011,Disabled,F,25222,Suburban,Single,90,28,69,0,3,Personal Auto,Agent
HF88410,Washington,7703.397294,No,Basic,High School or Below,28.02.2011,Employed,M,36765,Suburban,Married,66,15,32,1,2,Personal Auto,Call Center
ET79815,California,5926.729379,No,Extended,College,25.01.2011,Retired,M,23091,Suburban,Married,96,28,90,5,5,Personal Auto,Agent
QC35222,California,2683.470677,No,Basic,Bachelor,01.01.2011,Employed,F,48269,Urban,Married,69,3,79,3,1,Corporate Auto,Web
CJ15590,Oregon,2695.182419,No,Basic,Bachelor,02.01.2011,Employed,F,32720,Suburban,Divorced,67,13,12,0,1,Personal Auto,Branch
OI48267,California,6047.02516,No,Extended,College,19.02.2011,Employed,M,20396,Suburban,Married,76,15,60,1,4,Personal Auto,Branch
JY67916,Oregon,13171.01282,No,Premium,College,27.01.2011,Medical Leave,M,21513,Suburban,Married,119,21,81,1,2,Personal Auto,Branch
OE75231,Washington,10656.88195,No,Extended,Bachelor,27.02.2011,Employed,F,72540,Suburban,Married,88,7,3,0,2,Corporate Auto,Call Center
CZ33664,Oregon,2527.653796,No,Basic,Bachelor,17.01.2011,Employed,F,80744,Rural,Married,63,24,84,0,1,Corporate Auto,Agent
WK30175,Oregon,2672.095756,No,Basic,Bachelor,02.10.2011,Employed,M,52822,Suburban,Married,67,23,88,0,1,Corporate Auto,Branch
ON44465,California,5313.294035,No,Extended,High School or Below,24.01.2011,Unemployed,F,0,Suburban,Single,77,8,10,1,9,Personal Auto,Agent
TV87155,Oregon,20946.19251,No,Basic,Bachelor,24.02.2011,Employed,F,69738,Suburban,Married,74,2,26,1,2,Personal Auto,Branch
KH48895,Arizona,8375.353929,No,Basic,Master,15.02.2011,Medical Leave,F,17780,Rural,Married,109,12,18,0,9,Personal Auto,Branch
NZ30757,California,4801.661503,No,Basic,Bachelor,16.02.2011,Medical Leave,M,18107,Suburban,Married,62,29,11,0,8,Personal Auto,Agent
RI22468,Arizona,5745.94334,No,Basic,Bachelor,22.01.2011,Employed,F,57740,Urban,Married,74,30,87,3,9,Personal Auto,Web
FZ30935,Oregon,6066.115969,No,Extended,College,25.02.2011,Employed,M,32627,Suburban,Married,76,11,60,0,7,Personal Auto,Agent
UG93476,California,8002.308333,No,Basic,College,01.11.2011,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Personal Auto,Agent
AB96670,California,2393.915369,No,Basic,College,31.01.2011,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Personal Auto,Branch
XK64261,Oregon,4762.8179,No,Basic,Bachelor,01.12.2011,Employed,M,65795,Rural,Single,62,2,85,1,3,Corporate Auto,Call Center
EV68375,California,4330.38602,No,Premium,College,16.02.2011,Employed,M,60475,Suburban,Married,107,9,18,0,1,Personal Auto,Branch
UN51653,California,9402.729769,No,Extended,High School or Below,02.09.2011,Unemployed,F,0,Suburban,Single,130,28,88,0,4,Personal Auto,Web
TO96662,Oregon,6966.694527,No,Extended,Bachelor,19.01.2011,Employed,F,41837,Rural,Married,88,29,93,0,9,Personal Auto,Call Center
MR52087,California,7694.064293,No,Basic,Bachelor,01.04.2011,Employed,F,32303,Rural,Married,65,13,34,0,2,Personal Auto,Branch
DE75225,Oregon,8717.561149,No,Basic,High School or Below,01.09.2011,Unemployed,M,0,Suburban,Married,117,5,89,1,3,Personal Auto,Agent
EP80820,California,5928.748528,No,Basic,Bachelor,27.01.2011,Employed,F,40531,Rural,Married,74,17,32,0,9,Personal Auto,Agent
GU99037,Oregon,2452.977288,No,Basic,College,14.02.2011,Employed,M,79898,Urban,Married,62,5,86,1,1,Corporate Auto,Agent
WI57118,California,6701.571657,No,Extended,College,27.02.2011,Employed,M,56398,Suburban,Married,85,4,18,0,7,Personal Auto,Agent
