mortgage;life_ins;cre_card;deb_card;mob_bank;curr_acc;internet;perloan;savings;atm_user;markpl;age;cus_leng
0;0;0;0;0;0;0;0;0;0;0;18;1
1;1;0;1;1;0;0;0;0;1;0;18;2
1;1;0;1;0;0;0;0;0;0;1;18;2
1;1;1;1;0;1;0;0;0;1;1;18;2
1;1;0;1;0;0;0;1;0;1;0;18;2
0;0;0;1;1;1;0;0;0;0;0;18;2
0;0;0;1;0;0;0;0;0;1;0;18;1
1;0;0;1;0;0;0;0;0;1;0;18;1
1;0;0;1;0;0;0;0;0;1;1;18;3
1;1;1;1;0;1;0;0;0;0;0;18;2
1;0;0;1;0;0;0;0;0;1;0;18;1
1;0;0;1;0;0;0;0;0;0;0;18;2
1;0;0;1;0;0;1;0;0;0;0;18;1
1;0;0;1;0;1;1;0;0;1;0;18;2
1;1;1;0;0;0;1;0;0;1;1;18;2
1;0;0;1;0;1;1;0;0;0;1;18;2
0;0;1;1;1;0;1;0;0;1;1;18;2
1;0;0;0;0;0;0;0;0;1;1;18;2
0;0;0;1;0;0;0;0;0;0;0;18;1
1;1;0;1;0;1;1;0;0;0;1;18;2
1;0;1;1;0;0;1;0;0;1;0;18;1
1;0;1;0;1;0;1;1;0;0;0;18;2
1;1;1;1;0;1;1;0;1;0;1;18;2
1;0;1;1;0;0;0;0;0;0;1;18;2
1;0;1;1;0;0;0;0;0;0;1;18;3
1;0;0;0;0;0;0;0;0;1;1;18;2
1;0;0;1;1;1;0;0;0;0;0;18;1
1;0;1;1;0;0;0;0;0;0;1;18;2
1;0;0;1;0;1;0;0;0;0;1;18;1
1;0;0;1;1;1;0;0;0;0;0;18;1
1;1;1;0;0;1;0;0;0;1;1;18;2
1;1;0;1;0;0;0;0;0;0;0;18;1
1;1;1;0;0;0;0;0;0;0;1;18;2
1;1;1;0;0;0;1;0;0;1;0;18;2
1;1;1;1;0;0;0;0;0;0;0;18;2
1;1;1;0;0;0;0;1;0;0;1;18;2
1;1;0;1;0;0;0;0;0;0;1;18;2
1;1;1;1;0;0;0;0;0;0;1;18;2
0;0;0;1;0;0;0;0;0;0;1;18;2
1;1;1;0;0;1;0;0;0;0;1;18;2
