age;gender;inccat;ed;marital;savings
45;Мужской;75+;Среднее специальное;Женат (замужем);37,2
42;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);19,8
28;Мужской;18 - 24;Незаконченное высшее;Не женат (не замужем);11,8
31;Женский;25 - 49;Незаконченное высшее;Женат (замужем);21,3
42;Женский;75+;Среднее специальное;Не женат (не замужем);68,9
35;Мужской;50 - 74;Среднее специальное;Не женат (не замужем);34,1
21;Мужской;25 - 49;Среднее специальное;Женат (замужем);18,6
39;Мужской;18 - 24;Незаконченное высшее;Женат (замужем);8,5
39;Мужской;25 - 49;Среднее специальное;Женат (замужем);16,3
49;Женский;75+;Среднее;Не женат (не замужем);68,4
34;Женский;18 - 24;Среднее специальное;Не женат (не замужем);10
47;Мужской;18 - 24;Среднее специальное;Женат (замужем);11,4
58;Мужской;50 - 74;Незаконченное высшее;Не женат (не замужем);29,7
30;Мужской;18 - 24;Незаконченное высшее;Женат (замужем);10,5
21;Женский;18 - 24;Среднее специальное;Не женат (не замужем);6,3
24;Женский;18 - 24;Среднее;Не женат (не замужем);11,8
24;Мужской;18 - 24;Среднее;Не женат (не замужем);9,6
57;Женский;75+;Среднее;Женат (замужем);82,8
32;Мужской;25 - 49;Среднее;Не женат (не замужем);15,7
49;Мужской;25 - 49;Неполное среднее;Женат (замужем);17,3
56;Мужской;75+;Среднее;Не женат (не замужем);67,2
44;Женский;75+;Незаконченное высшее;Женат (замужем);75,2
20;Мужской;18 - 24;Среднее;Не женат (не замужем);9,5
47;Мужской;75+;Среднее;Не женат (не замужем);59,8
48;Женский;75+;Незаконченное высшее;Не женат (не замужем);38
52;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);13,4
38;Женский;18 - 24;Неполное среднее;Женат (замужем);9,2
51;Мужской;50 - 74;Среднее;Женат (замужем);25,5
61;Мужской;75+;Среднее;Женат (замужем);41,5
28;Мужской;18 - 24;Среднее специальное;Не женат (не замужем);12,5
39;Женский;50 - 74;Среднее специальное;Не женат (не замужем);28,6
51;Мужской;50 - 74;Среднее специальное;Женат (замужем);35,6
48;Мужской;75+;Высшее, ученая степень;Женат (замужем);65,9
28;Женский;25 - 49;Среднее специальное;Не женат (не замужем);17,3
39;Мужской;75+;Среднее;Женат (замужем);44
40;Женский;25 - 49;Среднее специальное;Женат (замужем);16,4
48;Мужской;75+;Незаконченное высшее;Женат (замужем);74,1
44;Мужской;50 - 74;Неполное среднее;Не женат (не замужем);27,3
43;Мужской;50 - 74;Среднее;Не женат (не замужем);32,9
61;Женский;75+;Незаконченное высшее;Женат (замужем);60,4
29;Мужской;25 - 49;Среднее;Женат (замужем);12,5
30;Женский;25 - 49;Неполное среднее;Женат (замужем);13,1
48;Мужской;75+;Среднее специальное;Не женат (не замужем);65,5
51;Мужской;75+;Неполное среднее;Женат (замужем);70,6
40;Мужской;50 - 74;Незаконченное высшее;Женат (замужем);29,5
61;Женский;50 - 74;Среднее специальное;Женат (замужем);32
