region;tenure;age;marital;address;income;employ;retire;gender;reside;custcat;churn
2;13;44;1;9;64;5;0;0;2;1;1
3;11;33;1;7;136;5;0;0;6;4;1
3;68;52;1;24;116;29;0;1;2;3;0
2;33;33;0;12;33;0;0;1;1;1;1
2;23;30;1;9;30;2;0;0;4;3;0
2;41;39;0;17;78;16;0;1;1;3;0
3;45;22;1;2;19;4;0;1;5;2;1
2;38;35;0;5;76;10;0;0;3;4;0
3;45;59;1;7;166;31;0;0;5;3;0
1;68;41;1;21;72;22;0;0;3;2;0
2;5;33;0;10;125;5;0;1;1;1;1
3;7;35;0;14;80;15;0;1;1;3;0
1;41;38;1;8;37;9;0;1;3;1;0
2;57;54;1;30;115;23;0;1;3;4;1
2;9;46;0;3;25;8;0;1;2;1;0
1;29;38;1;12;75;1;0;0;4;2;0
3;60;57;0;38;162;30;0;0;1;3;0
3;34;48;0;3;49;6;0;1;3;3;0
2;1;24;0;3;20;3;0;0;1;1;0
1;26;29;1;3;77;2;0;0;4;4;1
3;6;30;0;7;16;1;0;1;1;2;1
1;68;52;1;17;120;24;0;0;2;1;0
3;53;33;0;10;101;4;0;1;2;4;0
3;55;48;1;19;67;25;0;0;3;1;0
3;14;43;1;18;36;5;0;0;5;3;0
2;1;21;0;0;33;0;0;1;3;3;0
2;42;40;0;7;37;8;0;1;1;4;0
3;25;33;1;11;31;5;0;0;4;3;0
1;9;21;1;1;17;2;0;1;3;1;0
2;13;33;1;9;19;0;0;1;2;2;0
1;56;37;1;6;36;13;0;1;2;2;0
1;71;53;1;27;155;12;0;0;2;4;0
1;35;50;1;26;140;21;0;1;4;3;0
1;11;27;1;8;55;0;0;0;3;2;0
2;60;46;1;13;163;24;0;0;2;4;0
3;20;35;1;11;52;0;0;0;2;2;1
2;54;60;0;38;211;25;0;0;1;4;0
1;44;57;1;1;186;17;0;0;2;3;0
1;11;41;1;0;39;1;0;1;2;3;1
2;72;57;0;34;22;35;1;1;1;3;0
3;10;41;0;7;30;7;0;0;1;3;0
2;15;28;0;0;29;4;0;1;1;3;0
2;27;28;1;4;23;8;0;0;5;1;0
1;9;36;1;14;62;10;0;0;6;4;1
1;64;43;1;20;76;20;0;1;4;3;0
1;65;41;1;3;74;16;0;0;2;2;0
1;49;51;1;27;63;19;0;0;5;2;0
3;47;41;1;0;36;8;0;0;2;4;1
3;9;34;1;9;33;8;0;1;4;1;1
1;5;36;0;14;29;9;0;1;1;3;1
2;30;34;1;4;27;1;0;0;5;1;1
1;56;52;1;28;49;12;0;0;4;2;0
3;10;22;0;0;24;0;0;0;1;4;0
1;7;26;1;3;26;2;0;0;5;1;0
1;52;27;0;6;47;5;0;0;2;1;0
2;36;45;1;1;94;18;0;1;5;1;1
3;27;34;0;8;21;4;0;1;1;2;0
1;58;62;1;36;27;0;0;0;2;1;0
