,living_region_freq
0,699
1,3829
2,2691
3,2691
4,346
5,328
6,1272
7,132
8,2267
9,1111
10,414
11,3829
12,3829
13,699
14,3829
15,3829
16,1111
17,1383
18,2754
19,414
20,1499
21,368
22,1383
23,1272
24,1272
25,1499
26,436
27,436
28,254
29,2754
30,1519
31,772
32,1519
33,2267
34,859
35,1499
36,936
37,2691
38,284
39,397
40,507
41,2267
42,170
43,3829
44,414
45,2501
46,569
47,2754
48,425
49,1519
50,400
51,215
52,936
53,300
54,202
55,1851
56,2754
57,278
58,2452
59,1851
60,2452
61,445
62,1851
63,142
64,1111
65,506
66,1383
67,1071
68,569
69,1296
70,1296
71,346
72,703
73,569
74,215
75,175
76,471
77,218
78,3829
79,1071
80,2691
81,1065
82,170
83,699
84,3829
85,1071
86,2754
87,461
88,72
89,2754
90,397
91,1499
92,1499
93,3829
94,175
95,2501
96,654
97,2501
98,294
99,1071
100,445
101,828
102,2691
103,445
104,346
105,2248
106,2691
107,3829
108,235
109,2501
110,1296
111,3829
112,1296
113,174
114,580
115,772
116,2452
117,2691
118,654
119,436
120,2691
121,2691
122,3829
123,425
124,424
125,1851
126,72
127,1851
128,2452
129,279
130,170
131,699
132,2267
133,3829
134,425
135,772
136,3829
137,2248
138,772
139,2691
140,1272
141,936
142,3829
143,2754
144,580
145,3829
146,1296
147,425
148,1071
149,235
150,2452
151,703
152,1071
153,278
154,2691
155,471
156,3829
157,471
158,2754
159,2267
160,1499
161,3829
162,2754
163,859
164,575
165,1519
166,1111
167,1111
168,2501
169,859
170,859
171,2691
172,2452
173,471
174,2691
175,284
176,201
177,2248
178,3829
179,569
180,1851
181,2452
182,2248
183,290
184,2267
185,828
186,2248
187,2267
188,2754
189,2267
190,1383
191,507
192,2248
193,2267
194,1519
195,2501
196,1519
197,699
198,2691
199,3829
200,1851
201,218
202,2248
203,246
204,828
205,424
206,1851
207,2691
208,1519
209,828
210,3829
211,3829
212,1851
213,2248
214,1519
215,828
216,2267
217,1383
218,2452
219,3829
220,2452
221,2754
222,2691
223,461
224,168
225,2691
226,3829
227,772
228,132
229,1499
230,3829
231,1851
232,772
233,2267
234,471
235,3829
236,1519
237,772
238,2501
239,2691
240,580
241,278
242,174
243,1519
244,1383
245,1296
246,279
247,580
248,1851
249,2754
250,2452
251,1071
252,1499
253,3829
254,1499
255,654
256,1499
257,2267
258,1296
259,2754
260,400
261,424
262,2691
263,279
264,1851
265,284
266,703
267,3829
268,471
269,1383
270,2501
271,1519
272,580
273,654
274,1111
275,936
276,859
277,2248
278,1383
279,279
280,1296
281,1383
282,2501
283,53
284,1111
285,414
286,1519
287,3829
288,2501
289,170
290,175
291,1383
292,3829
293,654
294,1499
295,575
296,397
297,397
298,859
299,471
300,1851
301,772
302,284
303,3829
304,1383
305,1065
306,368
307,859
308,828
309,1111
310,3829
311,300
312,2691
313,425
314,1065
315,215
316,2248
317,828
318,2754
319,772
320,2754
321,168
322,569
323,654
324,95
325,425
326,828
327,1065
328,569
329,3829
330,1519
331,3829
332,699
333,580
334,2501
335,2501
336,1851
337,1296
338,2452
339,1851
340,294
341,1296
342,1851
343,1519
344,936
345,828
346,202
347,3829
348,313
349,414
350,2452
351,1296
352,699
353,2267
354,3829
355,2501
356,2754
357,2248
358,471
359,471
360,1851
361,828
362,2452
363,2754
364,471
365,1519
366,859
367,703
368,436
369,936
370,2248
371,3829
372,436
373,772
374,2248
375,2248
376,2452
377,1071
378,2501
379,1499
380,2501
381,2501
382,2452
383,828
384,1499
385,233
386,2754
387,1071
388,1383
389,2501
390,1851
391,2452
392,2691
393,1065
394,328
395,1071
396,278
397,654
398,1071
399,1519
400,1851
401,1383
402,3829
403,507
404,414
405,215
406,279
407,424
408,471
409,2248
410,1499
411,2754
412,1499
413,3829
414,2452
415,3829
416,3829
417,2248
418,3829
419,3829
420,2501
421,1272
422,3829
423,1519
424,3829
425,1071
426,1499
427,1071
428,828
429,3829
430,284
431,1111
432,2452
433,3829
434,1851
435,2691
436,3829
437,202
438,575
439,1071
440,2248
441,703
442,284
443,2501
444,1296
445,654
446,1065
447,2248
448,2691
449,1851
450,167
451,2691
452,2452
453,2501
454,1499
455,1851
456,569
457,212
458,654
459,859
460,61
461,218
462,202
463,2267
464,2691
465,142
466,218
467,397
468,936
469,1499
470,506
471,2248
472,1383
473,1383
474,2452
475,2267
476,2754
477,2452
478,445
479,699
480,1111
481,1272
482,425
483,3829
484,436
485,368
486,2691
487,2267
488,3829
489,859
490,2248
491,699
492,212
493,3829
494,2267
495,1383
496,2691
497,424
498,2754
499,212
500,1065
501,703
502,215
503,1519
504,2248
505,1272
506,3829
507,2754
508,1296
509,2691
510,2248
511,2267
512,2754
513,284
514,346
515,368
516,2754
517,170
518,936
519,2248
520,859
521,301
522,1065
523,2754
524,313
525,1071
526,3829
527,1071
528,2754
529,936
530,2267
531,2248
532,254
533,2501
534,2501
535,425
536,2267
537,424
538,2501
539,246
540,436
541,1111
542,569
543,278
544,1851
545,1851
546,654
547,2691
548,218
549,2248
550,170
551,1383
552,1296
553,2501
554,279
555,2754
556,3829
557,507
558,346
559,95
560,210
561,1272
562,397
563,2754
564,3829
565,2501
566,2501
567,471
568,2501
569,1071
570,1499
571,2691
572,1499
573,1272
574,1383
575,1071
576,575
577,2452
578,3829
579,2691
580,1851
581,828
582,2501
583,1065
584,2691
585,1851
586,1065
587,1272
588,284
589,461
590,772
591,1383
592,936
593,506
594,1519
595,2267
596,3829
597,2248
598,1065
599,2754
600,703
601,2501
602,1111
603,1071
604,3829
605,2691
606,506
607,1519
608,1296
609,126
610,936
611,1296
612,699
613,828
614,170
615,201
616,436
617,2267
618,936
619,1296
620,699
621,2267
622,170
623,1519
624,772
625,461
626,3829
627,2452
628,1499
629,2452
630,110
631,175
632,569
633,2691
634,2691
635,132
636,445
637,699
638,1499
639,1272
640,1499
641,471
642,1499
643,1519
644,2754
645,2267
646,1383
647,699
648,3829
649,278
650,2691
651,368
652,95
653,1851
654,1272
655,2691
656,3829
657,425
658,1383
659,300
660,507
661,294
662,2248
663,699
664,1383
665,170
666,2754
667,414
668,569
669,3829
670,2248
671,2691
672,425
673,1111
674,3829
675,703
676,2501
677,654
678,397
679,301
680,414
681,425
682,1499
683,580
684,699
685,1065
686,400
687,279
688,828
689,1851
690,425
691,1065
692,246
693,3829
694,1851
695,178
696,2452
697,828
698,654
699,1383
700,3829
701,218
702,3829
703,328
704,936
705,580
706,3829
707,1272
708,1519
709,3829
710,1071
711,2452
712,828
713,1296
714,1296
715,3829
716,328
717,2248
718,2501
719,1851
720,300
721,235
722,313
723,1851
724,206
725,703
726,2267
727,1851
728,2501
729,936
730,235
731,2691
732,278
733,400
734,936
735,206
736,461
737,290
738,2452
739,1499
740,2501
741,1065
742,2691
743,569
744,2248
745,174
746,254
747,1272
748,1519
749,772
750,2691
751,3829
752,507
753,2267
754,424
755,368
756,2267
757,2691
758,1272
759,2691
760,507
761,2754
762,1851
763,2248
764,2267
765,1272
766,436
767,1851
768,126
769,2754
770,1296
771,300
772,1851
773,828
774,2452
775,772
776,174
777,506
778,1851
779,2248
780,2501
781,1499
782,3829
783,1499
784,1851
785,2452
786,2248
787,206
788,2754
789,1851
790,772
791,2754
792,1851
793,2267
794,3829
795,2267
796,772
797,3829
798,2267
799,1065
800,1851
801,2501
802,397
803,2452
804,445
805,859
806,212
807,828
808,2248
809,1296
810,215
811,1272
812,436
813,436
814,2267
815,699
816,346
817,212
818,2501
819,1071
820,1071
821,859
822,2248
823,95
824,2267
825,1272
826,2452
827,507
828,1499
829,507
830,1383
831,1499
832,3829
833,2754
834,2248
835,2754
836,1272
837,2248
838,461
839,2248
840,2501
841,2267
842,168
843,828
844,1499
845,2248
846,2452
847,215
848,206
849,859
850,284
851,3829
852,2501
853,859
854,1519
855,1499
856,436
857,859
858,300
859,2452
860,703
861,2452
862,53
863,2248
864,3829
865,1296
866,703
867,1383
868,2248
869,580
870,300
871,569
872,174
873,2691
874,1519
875,1111
876,284
877,1519
878,2267
879,569
880,328
881,142
882,1272
883,3829
884,279
885,1851
886,2501
887,1499
888,507
889,1071
890,3829
891,859
892,1272
893,1851
894,1851
895,2501
896,3829
897,2248
898,3829
899,654
900,1851
901,167
902,2691
903,2248
904,175
905,1499
906,2501
907,313
908,1851
909,1519
910,110
911,3829
912,2452
913,2501
914,132
915,2501
916,1383
917,126
918,1499
919,290
920,1272
921,284
922,2267
923,772
924,346
925,279
926,206
927,699
928,284
929,2501
930,1071
931,201
932,580
933,2691
934,424
935,1851
936,772
937,2691
938,400
939,3829
940,1272
941,142
942,1499
943,1499
944,2452
945,1519
946,1499
947,1519
948,2754
949,1519
950,2248
951,2691
952,506
953,2267
954,2267
955,2248
956,575
957,445
958,1065
959,1851
960,2691
961,1272
962,2754
963,2267
964,132
965,436
966,699
967,1296
968,3829
